Vx	Vy	Vz	Wx	Wy	Wz	fi	psi	teta	Ksi	Eta	Dzeta	T	Tng	Tkg	Tnb	Tkb	Lat	Long
0.256	-0.001	0.001	0.000	-0.017	-0.021	-0.000	-0.009	-0.011	0.128	-0.002	0.001	929.126	100.000	-100.000	-100.000	100.000	69.218349	16.456378
0.504	0.000	0.000	0.000	-0.032	-0.039	-0.001	-0.034	-0.041	0.509	-0.012	0.010	929.126	100.000	-100.000	-100.000	100.000	69.218352	16.456378
0.735	0.008	-0.004	0.001	-0.042	-0.051	-0.003	-0.071	-0.086	1.128	-0.048	0.041	929.126	100.000	-100.000	-100.000	100.000	69.218357	16.456379
0.944	0.021	-0.012	0.001	-0.047	-0.046	-0.007	-0.116	-0.139	1.962	-0.130	0.111	929.126	100.000	-100.000	100.000	-100.000	69.218365	16.456381
1.128	0.033	-0.023	0.001	-0.048	-0.030	-0.013	-0.165	-0.178	2.983	-0.270	0.238	929.126	100.000	-100.000	-100.000	100.000	69.218374	16.456384
1.286	0.041	-0.034	0.001	-0.047	-0.025	-0.021	-0.214	-0.204	4.161	-0.465	0.435	929.126	100.000	-100.000	-100.000	100.000	69.218384	16.456388
1.420	0.047	-0.045	0.001	-0.045	-0.017	-0.030	-0.261	-0.225	5.465	-0.713	0.710	929.126	100.000	-100.000	-100.000	100.000	69.218396	16.456395
1.531	0.049	-0.055	0.001	-0.042	-0.013	-0.039	-0.306	-0.236	6.870	-1.006	1.066	929.126	100.000	-100.000	-100.000	100.000	69.218408	16.456404
1.622	0.051	-0.064	0.001	-0.040	-0.005	-0.048	-0.349	-0.245	8.351	-1.337	1.505	929.126	100.000	-100.000	100.000	-100.000	69.218422	16.456415
1.696	0.048	-0.071	0.001	-0.032	-0.006	-0.057	-0.388	-0.247	9.888	-1.697	2.025	929.126	100.000	-100.000	-100.000	100.000	69.218436	16.456428
1.756	0.048	-0.075	0.001	-0.028	-0.012	-0.064	-0.420	-0.254	11.466	-2.083	2.617	929.126	100.000	-100.000	-100.000	100.000	69.218450	16.456443
1.804	0.049	-0.077	0.001	-0.023	-0.008	-0.070	-0.447	-0.262	13.072	-2.495	3.274	929.126	83.539	-83.539	100.000	-100.000	69.218464	16.456459
1.844	0.048	-0.076	0.000	-0.013	-0.003	-0.074	-0.465	-0.266	14.699	-2.930	3.984	929.126	-100.000	100.000	100.000	-100.000	69.218479	16.456477
1.876	0.046	-0.072	0.000	-0.006	0.001	-0.077	-0.477	-0.269	16.342	-3.384	4.735	929.126	-100.000	100.000	100.000	-100.000	69.218493	16.456496
1.903	0.042	-0.067	0.000	-0.003	-0.001	-0.078	-0.482	-0.270	18.001	-3.849	5.516	929.126	-100.000	100.000	100.000	-100.000	69.218508	16.456516
1.924	0.039	-0.060	0.000	0.001	0.002	-0.078	-0.484	-0.271	19.673	-4.326	6.319	929.126	100.000	-100.000	100.000	-100.000	69.218523	16.456536
